date,filename,original_image,result_image,persons,cars,buses,trucks,motorcycles,bicycles,traffic_lights,stop_signs,total_vehicles,total_people,total_objects,avg_confidence,min_confidence,max_confidence,vehicle_density,most_detected_object,processing_time,traffic_level,risk_level
2026-06-27 18:22:26,WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,0,9,0,0,0,0,0,0,9,0,9,0.78,0.44,0.93,100.0,Cars,0.24,Medium,Low
2026-06-27 18:23:07,WhatsApp Image 2026-06-26 at 6.44.47 PM.jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.44.47 PM.jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.44.47 PM.jpeg,0,12,0,0,0,0,0,0,12,0,12,0.62,0.51,0.73,100.0,Cars,0.1,High,Low
2026-06-27 18:23:28,WhatsApp Image 2026-06-26 at 6.45.15 PM (2).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.45.15 PM (2).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.45.15 PM (2).jpeg,0,28,1,0,0,0,0,0,29,0,29,0.63,0.43,0.89,100.0,Cars,0.15,High,Low
2026-06-27 18:24:07,WhatsApp Image 2026-06-26 at 6.44.47 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.44.47 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.44.47 PM (1).jpeg,0,8,0,0,0,0,0,0,8,0,8,0.69,0.4,0.85,100.0,Cars,0.15,Medium,Low
2026-06-27 18:24:40,WhatsApp Image 2026-06-26 at 6.44.47 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.44.47 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.44.47 PM (1).jpeg,0,13,0,0,0,0,0,0,13,0,13,0.55,0.3,0.85,100.0,Cars,0.3,High,Low
2026-06-28 17:43:59,WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,0,9,0,0,0,0,0,0,9,0,9,0.78,0.44,0.93,100.0,Cars,0.38,Medium,Low
2026-06-28 17:44:30,WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,0,9,0,0,0,0,0,0,9,0,9,0.78,0.44,0.93,100.0,Cars,0.23,Medium,Low
2026-06-28 17:44:45,WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,0,9,0,0,0,0,0,0,9,0,9,0.78,0.44,0.93,100.0,Cars,0.11,Medium,Low
2026-06-28 17:51:29,WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/uploads/WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,static/results/detected_WhatsApp Image 2026-06-26 at 6.45.15 PM (1).jpeg,0,9,0,0,0,0,0,0,9,0,9,0.78,0.44,0.93,100.0,Cars,0.11,Medium,Low
2026-06-28 17:51:56,WhatsApp Image 2026-06-28 at 5.51.00 PM.jpeg,static/uploads/WhatsApp Image 2026-06-28 at 5.51.00 PM.jpeg,static/results/detected_WhatsApp Image 2026-06-28 at 5.51.00 PM.jpeg,1,3,0,0,0,0,0,0,3,1,4,0.53,0.43,0.74,75.0,Cars,0.09,Low,Low
